Pressione(mbar),	Temperatura	Umidità		Ora
Ia volta
961.35,			25,		68,		1600
961.7,			25,		68,		1600
963.9,			25,		68,		1600
963.2,			25,		68,		1600
965.25,			25,		68,		1600
			
962.3,			25,		68,		1700
963,			25,		68,		1700
964.35,			25,		68,		1700
962.35,			25,		68,		1700
960.06,			25,		68,		1700

965.4,			25,		69,		1800
960.15,			25,		69,		1800
962.1,			25,		69,		1800
960.75,			25,		69,		1800
959.75,			25,		69,		1800

IIa volta
974.4,			26,		59,		1500
973.6,			26,		59,		1500
972.15,			26,		59,		1500
973.4,			26,		58,		1500
970.1,			26,		58,		1500

976,			25,		59,		1600
976.2,			25,		59,		1600
972.2,			25,		59,		1600
973.7,			25,		59,		1600
974.5,			25,		59,		1600

976.6,			26,		58,		1700
975.95,			26,		58,		1700
967.9,			26,		58,		1700
969.2,			26,		59,		1700
969.4,			26,		59,		1700

